ID,型号,价格,能源类型,车辆级别,驱动方式,马力(Ps),电池容量(kWh),百公里能耗,续航里程
96,奥迪A4L 2025款 200万辆悦享版 40 TFSI 豪华动感型,30.98万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
96,奥迪A4L 2025款 200万辆悦享版 40 TFSI 豪华动感型B&O星夜版,32.98万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
96,奥迪A4L 2025款 200万辆悦享版 45 TFSI quattro 臻选动感型,36.28万,汽油,中型车,N/A,N/A,N/A,N/A,N/A
96,奥迪A4L 2024款 40 TFSI 时尚动感型,32.18万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
96,奥迪A4L 2024款 40 TFSI 豪华动感型,34.38万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
96,奥迪A4L 2024款 40 TFSI quattro RS套件燃速型,36.88万,汽油,中型车,N/A,N/A,N/A,N/A,N/A
96,奥迪A4L 2024款 40 TFSI 豪华动感型 星夜版,36.58万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
96,奥迪A4L 2024款 45 TFSI quattro 臻选动感型,40.08万,汽油,中型车,N/A,N/A,N/A,N/A,N/A
99,奥迪A6L 2025款 40 TFSI 豪华动感型,42.79万,汽油,中大型车,前驱,N/A,N/A,N/A,N/A
99,奥迪A6L 2025款 45 TFSI 臻选动感型,45.49万,汽油,中大型车,前驱,N/A,N/A,N/A,N/A
99,奥迪A6L 2025款 45 TFSI 臻选动感型+通风舒享包,45.49万,汽油,中大型车,前驱,N/A,N/A,N/A,N/A
99,奥迪A6L 2025款 45 TFSI quattro 臻选动感型,47.99万,汽油,中大型车,N/A,N/A,N/A,N/A,N/A
99,奥迪A6L 2025款 45 TFSI quattro 臻选动感型+尊享包,49.98万,汽油,中大型车,N/A,N/A,N/A,N/A,N/A
99,奥迪A6L 2025款 55 TFSI quattro 尊享动感型,55.89万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
99,奥迪A6L 2025款 55 TFSI quattro 旗舰动感型,65.68万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
99,奥迪A6L 2024款 40 TFSI 豪华动感型,42.79万,汽油,中大型车,前驱,N/A,N/A,N/A,N/A
99,奥迪A6L 2024款 45 TFSI 臻选动感型,45.49万,汽油,中大型车,前驱,N/A,N/A,N/A,N/A
99,奥迪A6L 2024款 45 TFSI quattro 臻选动感型,47.99万,汽油,中大型车,N/A,N/A,N/A,N/A,N/A
99,奥迪A6L 2024款 45 TFSI quattro 尊享动感型,49.98万,汽油,中大型车,N/A,N/A,N/A,N/A,N/A
99,奥迪A6L 2024款 55 TFSI quattro 尊享动感型,55.89万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
99,奥迪A6L 2024款 55 TFSI quattro 旗舰致雅型,65.68万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
100,奥迪Q3 2024款 35 TFSI 进取致雅型,27.98万,汽油,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
100,奥迪Q3 2024款 35 TFSI 进取动感型,27.98万,汽油,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
100,奥迪Q3 2024款 35 TFSI 时尚致雅型,29.58万,汽油,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
100,奥迪Q3 2024款 35 TFSI 时尚动感型,29.58万,汽油,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
100,奥迪Q3 2024款 35 TFSI RS套件燃速型,30.23万,汽油,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
100,奥迪Q3 2024款 40 TFSI 时尚动感型,30.58万,汽油,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
100,奥迪Q3 2024款 40 TFSI RS套件燃速型,31.23万,汽油,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
100,奥迪Q3 2024款 40 TFSI 时尚动感型 上市特别版,31.44万,汽油,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
100,奥迪Q3 2024款 45 TFSI quattro 时尚动感型,32.98万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
100,奥迪Q3 2024款 45 TFSI quattro 时尚动感型 上市特别版,33.59万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
145,宝马3系 2025款 325i M运动套装,31.99万,汽油,中型车,N/A,N/A,N/A,N/A,N/A
145,宝马3系 2025款 330i M运动曜夜套装,35.99万,汽油,中型车,N/A,N/A,N/A,N/A,N/A
145,宝马3系 2025款 325Li M运动套装,33.99万,汽油,中型车,N/A,N/A,N/A,N/A,N/A
145,宝马3系 2025款 330Li M运动曜夜套装,36.99万,汽油,中型车,N/A,N/A,N/A,N/A,N/A
145,宝马3系 2025款 330Li 尊享型 M运动曜夜套装,39.99万,汽油,中型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2025款 525Li 豪华套装,43.99万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2025款 525Li M运动套装,43.99万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2025款 530Li 领先型 豪华套装,48.59万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2025款 530Li 领先型 M运动套装,48.59万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2025款 530Li xDrive 豪华套装,50.59万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2025款 530Li xDrive M运动套装,50.59万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2025款 530Li 尊享型 豪华套装,52.59万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2025款 530Li 尊享型 M运动套装,52.59万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2024款 525Li 豪华套装,43.99万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2024款 525Li M运动套装,43.99万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2024款 530Li 领先型 豪华套装,48.59万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2024款 530Li 领先型 M运动套装,48.59万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2024款 530Li xDrive 豪华套装,50.59万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2024款 530Li xDrive M运动套装,50.59万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2024款 530Li 尊享型 豪华套装,52.59万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
146,宝马5系 2024款 530Li 尊享型 M运动套装,52.59万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
148,宝马X1 2024款 M35Li,40.99万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
148,宝马X1 2023款 sDrive20Li X设计套装,28.89万,汽油,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
148,宝马X1 2023款 sDrive25Li X设计套装,31.69万,汽油,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
148,宝马X1 2023款 sDrive25Li M运动套装,31.69万,汽油,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
148,宝马X1 2023款 xDrive25Li X设计套装,34.99万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
148,宝马X1 2023款 xDrive25Li M运动套装,34.99万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
164,北京BJ40 2024款 城市猎人版 2.0T 自动四驱 先锋型,17.98万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
164,北京BJ40 2024款 城市猎人版 2.0T 自动四驱 侠客型,19.98万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
164,北京BJ40 2024款 城市猎人版 2.0T 自动四驱 至尊型,21.98万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
164,北京BJ40 2024款 城市猎人版 2.0T 自动四驱 进阶型,22.78万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
164,北京BJ40 2024款 刀锋英雄版 2.0T 自动四驱 攀登者,18.98万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
164,北京BJ40 2024款 刀锋英雄版 2.0D 自动四驱 穿越者,18.98万,柴油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
164,北京BJ40 2024款 环塔冠军版 2.0T 自动四驱,22.98万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
164,北京BJ40 2024款 2.0T 自动四驱致敬2020荣耀版,13.98万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
164,北京BJ40 2024款 2.0T 自动四驱城市猎人荣耀版,14.58万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
164,北京BJ40 2024款 2.0D 自动四驱刀锋英雄荣耀版,15.58万,柴油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
164,北京BJ40 2024款 2.3T 自动四驱雨林穿越版,26.99万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
165,北京BJ80 2023款 2.3T 自动侠客版,29.8万,汽油,中大型SUV,N/A,N/A,N/A,N/A,N/A
165,北京BJ80 2023款 3.0T 自动至尊型,34.8万,汽油,中大型SUV,N/A,N/A,N/A,N/A,N/A
165,北京BJ80 2023款 3.0T 自动珠峰版,39.8万,汽油,中大型SUV,N/A,N/A,N/A,N/A,N/A
165,北京BJ80 2020款 2.3T 自动侠客版,29.8万,汽油,中大型SUV,N/A,N/A,N/A,N/A,N/A
165,北京BJ80 2020款 3.0T 自动至尊型,34.8万,汽油,中大型SUV,N/A,N/A,N/A,N/A,N/A
165,北京BJ80 2020款 3.0T 自动珠峰版,39.8万,汽油,中大型SUV,N/A,N/A,N/A,N/A,N/A
205,勇士 2021款 2.4T 三门四驱短轴汽油版 国VI,10.68万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
205,勇士 2021款 2.4T 三门四驱汽油版 国VI,13.79万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
205,勇士 2021款 2.4T 四门四驱汽油版6座 国VI,14.88万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
205,勇士 2021款 2.4T 四门四驱汽油版8座 国VI,14.88万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
205,勇士 2021款 2.4T 五门四驱汽油版 国VI,14.39万,汽油,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
212,奔驰C级 2025款 C 200 L 运动版,33.48万,48V轻混系统,中型车,N/A,N/A,N/A,N/A,N/A
212,奔驰C级 2025款 改款 C 200 L 运动版,33.48万,48V轻混系统,中型车,N/A,N/A,N/A,N/A,N/A
212,奔驰C级 2025款 C 260 L,35.68万,48V轻混系统,中型车,N/A,N/A,N/A,N/A,N/A
212,奔驰C级 2025款 改款 C 260 L,35.68万,48V轻混系统,中型车,N/A,N/A,N/A,N/A,N/A
212,奔驰C级 2025款 C 260 L 运动版,35.68万,48V轻混系统,中型车,N/A,N/A,N/A,N/A,N/A
212,奔驰C级 2025款 改款 C 260 L 运动版,35.68万,48V轻混系统,中型车,N/A,N/A,N/A,N/A,N/A
212,奔驰C级 2025款 C 260 L 运动版 4MATIC,37.58万,48V轻混系统,中型车,N/A,N/A,N/A,N/A,N/A
212,奔驰C级 2025款 改款 C 260 L 运动版 4MATIC,37.58万,48V轻混系统,中型车,N/A,N/A,N/A,N/A,N/A
212,奔驰C级 2025款 C 260 L 皓夜运动版,38.06万,48V轻混系统,中型车,N/A,N/A,N/A,N/A,N/A
212,奔驰C级 2025款 改款 C 260 L 皓夜运动版,38.06万,48V轻混系统,中型车,N/A,N/A,N/A,N/A,N/A
213,奔驰C级PHEV 2025款 C 350 eL,41.06万,插电式混合动力,中型车,N/A,129Ps,25.4,N/A,N/A
213,奔驰C级PHEV 2025款 改款 C 350 eL,41.06万,插电式混合动力,中型车,N/A,129Ps,25.4,N/A,N/A
214,奔驰E级 2025款 E 260 L 轿车,45.18万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 改款 E 260 L 轿车,45.18万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 E 260 L 运动轿车,45.18万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 改款 E 260 L 运动轿车,45.18万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 E 260 L 4MATIC 轿车,47.78万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 改款 E 260 L 4MATIC 轿车,47.78万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 E 260 L 4MATIC 运动轿车,47.78万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 改款 E 260 L 4MATIC 运动轿车,47.78万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 E 300 L  时尚型 轿车,49.98万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 改款 E 300 L  时尚型 轿车,49.98万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 E 300 L  时尚型 运动轿车,49.98万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 改款 E 300 L  时尚型 运动轿车,49.98万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 E 300 L  豪华型 轿车,52.98万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 改款 E 300 L  豪华型 轿车,52.98万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 E 300 L  豪华型 运动轿车,52.98万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 改款 E 300 L  豪华型 运动轿车,52.98万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 E 300 L  尊贵型 轿车,59.98万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 改款 E 300 L  尊贵型 轿车,59.98万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 E 300 L  尊贵型 运动轿车,59.98万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
214,奔驰E级 2025款 改款 E 300 L  尊贵型 运动轿车,59.98万,48V轻混系统,中大型车,N/A,N/A,N/A,N/A,N/A
215,奔驰GLA 2024款 改款 GLA 200,29.99万,48V轻混系统,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
215,奔驰GLA 2024款 改款 GLA 220,32.09万,48V轻混系统,紧凑型SUV,前驱,N/A,N/A,N/A,N/A
215,奔驰GLA 2024款 改款 GLA 220 4MATIC,34.69万,48V轻混系统,紧凑型SUV,N/A,N/A,N/A,N/A,N/A
216,奔驰GLC 2025款 GLC 260 L 4MATIC 动感型 5座,42.78万,48V轻混系统,中型SUV,N/A,N/A,N/A,N/A,N/A
216,奔驰GLC 2025款 改款 GLC 260 L 4MATIC 动感型 5座,42.78万,48V轻混系统,中型SUV,N/A,N/A,N/A,N/A,N/A
216,奔驰GLC 2025款 GLC 260 L 4MATIC 豪华型 5座,45.53万,48V轻混系统,中型SUV,N/A,N/A,N/A,N/A,N/A
216,奔驰GLC 2025款 改款 GLC 260 L 4MATIC 豪华型 5座,45.53万,48V轻混系统,中型SUV,N/A,N/A,N/A,N/A,N/A
216,奔驰GLC 2025款 GLC 300 L 4MATIC 动感型 5座,47.93万,48V轻混系统,中型SUV,N/A,N/A,N/A,N/A,N/A
216,奔驰GLC 2025款 改款 GLC 300 L 4MATIC 动感型 5座,47.93万,48V轻混系统,中型SUV,N/A,N/A,N/A,N/A,N/A
216,奔驰GLC 2025款 GLC 300 L 4MATIC 动感型 7座,48.53万,48V轻混系统,中型SUV,N/A,N/A,N/A,N/A,N/A
216,奔驰GLC 2025款 改款 GLC 300 L 4MATIC 动感型 7座,48.53万,48V轻混系统,中型SUV,N/A,N/A,N/A,N/A,N/A
216,奔驰GLC 2025款 GLC 300 L 4MATIC 豪华型 5座,52.53万,48V轻混系统,中型SUV,N/A,N/A,N/A,N/A,N/A
216,奔驰GLC 2025款 改款 GLC 300 L 4MATIC 豪华型 5座,52.53万,48V轻混系统,中型SUV,N/A,N/A,N/A,N/A,N/A
216,奔驰GLC 2025款 GLC 300 L 4MATIC 豪华型 7座,53.13万,48V轻混系统,中型SUV,N/A,N/A,N/A,N/A,N/A
216,奔驰GLC 2025款 改款 GLC 300 L 4MATIC 豪华型 7座,53.13万,48V轻混系统,中型SUV,N/A,N/A,N/A,N/A,N/A
244,威霆 2024款 2.0T 精英版 7座,33.68万,48V轻混系统,中大型MPV,N/A,N/A,N/A,N/A,N/A
244,威霆 2024款 2.0T 精英版 8座,33.68万,48V轻混系统,中大型MPV,N/A,N/A,N/A,N/A,N/A
244,威霆 2024款 2.0T 精英版 9座,34.58万,48V轻混系统,中大型MPV,N/A,N/A,N/A,N/A,N/A
244,威霆 2024款 2.0T 商务版 7座,38.68万,48V轻混系统,中大型MPV,N/A,N/A,N/A,N/A,N/A
244,威霆 2024款 2.0T 商务版 8座,38.68万,48V轻混系统,中大型MPV,N/A,N/A,N/A,N/A,N/A
244,威霆 2024款 2.0T 商务版 9座,38.68万,48V轻混系统,中大型MPV,N/A,N/A,N/A,N/A,N/A
244,威霆 2023款 2.0T 精英版 7座,29.38万,汽油,中大型MPV,N/A,N/A,N/A,N/A,N/A
244,威霆 2023款 2.0T 精英版 8座,29.38万,汽油,中大型MPV,N/A,N/A,N/A,N/A,N/A
244,威霆 2023款 2.0T 精英版 9座,30.28万,汽油,中大型MPV,N/A,N/A,N/A,N/A,N/A
244,威霆 2023款 2.0T 商务版 7座,35.48万,汽油,中大型MPV,N/A,N/A,N/A,N/A,N/A
244,威霆 2023款 2.0T 商务版 8座,35.48万,汽油,中大型MPV,N/A,N/A,N/A,N/A,N/A
244,威霆 2023款 2.0T 商务版 9座,35.48万,汽油,中大型MPV,N/A,N/A,N/A,N/A,N/A
245,奔驰V级 2024款 V 300 领航版,49.68万,48V轻混系统,中大型MPV,N/A,N/A,N/A,N/A,N/A
245,奔驰V级 2024款 V 300 尊贵版,60.98万,48V轻混系统,中大型MPV,N/A,N/A,N/A,N/A,N/A
245,奔驰V级 2024款 V 300 L 长轴距尊贵版,63.98万,48V轻混系统,中大型MPV,N/A,N/A,N/A,N/A,N/A
245,奔驰V级 2024款 V 300 L 长轴距豪华版,66.98万,48V轻混系统,中大型MPV,N/A,N/A,N/A,N/A,N/A
245,奔驰V级 2022款 V 260 领航版,47.88万,汽油,中大型MPV,N/A,N/A,N/A,N/A,N/A
245,奔驰V级 2022款 V 260 尊贵版,58.68万,汽油,中大型MPV,N/A,N/A,N/A,N/A,N/A
245,奔驰V级 2022款 V 260 L 长轴距尊贵版,61.68万,汽油,中大型MPV,N/A,N/A,N/A,N/A,N/A
245,奔驰V级 2022款 V 260 L 长轴距豪华版,64.68万,汽油,中大型MPV,N/A,N/A,N/A,N/A,N/A
267,奔腾B70 2025款 龙耀版 1.5T 质享型,9.88万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
267,奔腾B70 2025款 龙耀版 1.5T 欢享型,10.48万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
267,奔腾B70 2025款 龙耀版 1.5T 舒享型,11.38万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
267,奔腾B70 2025款 龙腾版 1.5T 黑骑士,12.09万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
267,奔腾B70 2025款 龙耀版 1.5T 黑骑士,12.38万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
267,奔腾B70 2024款 龙腾版 1.5T 领创型,11.59万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
267,奔腾B70 2024款 龙腾版 1.5T 领跃型,12.59万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
267,奔腾B70 2024款 改款 第四代 2.0T 领御型,13.29万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
267,奔腾B70 2024款 改款 第四代 2.0T 领航型,13.79万,汽油,中型车,前驱,N/A,N/A,N/A,N/A
276,思域 2025款 180TURBO CVT 智趣,12.99万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
276,思域 2025款 240TURBO CVT 智趣Plus,13.99万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
276,思域 2025款 240TURBO CVT 智趣Pro,14.59万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
276,思域 2025款 240TURBO CVT 智趣Max,15.99万,汽油,紧凑型车,前驱,N/A,N/A,N/A,N/A
276,思域 2025款 2.0L e:HEV 混动,13.99万,油电混合,紧凑型车,前驱,184Ps,N/A,N/A,N/A
276,思域 2025款 2.0L e:HEV 混动Plus,14.99万,油电混合,紧凑型车,前驱,184Ps,N/A,N/A,N/A
276,思域 2025款 2.0L e:HEV 混动Pro,16.39万,油电混合,紧凑型车,前驱,184Ps,N/A,N/A,N/A
